amount,method,bank,hour,day_of_week,prior_retries,is_new_customer,error_code,reason,bucket,retry_success
1182,Card,Kotak Mahindra,22,3,0,0,BAD_REQUEST_ERROR,user_cancelled,dropoff,1
724,Card,HDFC Bank,18,2,0,1,BAD_REQUEST_ERROR,invalid_expiry,invalid,0
3160,UPI,ICICI Bank,5,2,0,1,BAD_REQUEST_ERROR,invalid_cvv,invalid,1
378,Card,Axis Bank,13,5,2,1,BAD_REQUEST_ERROR,otp_timeout,dropoff,0
7794,UPI,Kotak Mahindra,5,6,0,0,BAD_REQUEST_ERROR,insufficient_funds,funds,1
2387,UPI,HDFC Bank,22,1,0,1,BAD_REQUEST_ERROR,otp_timeout,dropoff,1
281,UPI,Kotak Mahindra,6,5,1,1,BAD_REQUEST_ERROR,otp_timeout,dropoff,1
655,Card,IDFC First,21,6,0,0,BAD_REQUEST_ERROR,otp_timeout,dropoff,1
3413,UPI,ICICI Bank,19,0,0,1,BAD_REQUEST_ERROR,otp_timeout,funds,0
10188,UPI,HDFC Bank,21,1,0,1,GATEWAY_ERROR,internal_error,timeout,1
491,UPI,IDFC First,0,3,1,1,BAD_REQUEST_ERROR,invalid_expiry,invalid,0
612,UPI,Yes Bank,1,3,0,0,GATEWAY_ERROR,issuer_risk_block,risk,0
5214,Netbanking,Yes Bank,6,4,1,0,BAD_REQUEST_ERROR,invalid_expiry,invalid,0
1584,Wallet,ICICI Bank,10,6,0,0,BAD_REQUEST_ERROR,invalid_expiry,invalid,1
2468,UPI,ICICI Bank,16,3,3,1,BAD_REQUEST_ERROR,invalid_cvv,invalid,0
280,Netbanking,Kotak Mahindra,9,2,1,0,GATEWAY_ERROR,internal_error,timeout,1
1236,Netbanking,IDFC First,19,3,0,0,BAD_REQUEST_ERROR,invalid_cvv,timeout,1
1646,UPI,Yes Bank,15,2,1,0,BAD_REQUEST_ERROR,insufficient_funds,funds,0
4485,UPI,Axis Bank,8,2,0,1,BAD_REQUEST_ERROR,invalid_cvv,invalid,0
427,Netbanking,ICICI Bank,14,6,0,1,BAD_REQUEST_ERROR,issuer_general_decline,decline,0
2389,Card,ICICI Bank,2,6,1,0,BAD_REQUEST_ERROR,invalid_cvv,invalid,1
1758,Wallet,Yes Bank,2,6,3,0,BAD_REQUEST_ERROR,otp_timeout,invalid,0
148,Netbanking,Yes Bank,14,2,0,1,GATEWAY_ERROR,internal_error,timeout,1
763,UPI,Yes Bank,8,5,1,0,BAD_REQUEST_ERROR,invalid_cvv,invalid,1
1443,UPI,SBI,6,1,0,0,BAD_REQUEST_ERROR,user_cancelled,dropoff,0
5753,Netbanking,Yes Bank,8,3,0,1,BAD_REQUEST_ERROR,insufficient_funds,funds,0
1021,Card,ICICI Bank,11,3,0,0,BAD_REQUEST_ERROR,invalid_cvv,invalid,0
5798,Wallet,ICICI Bank,3,2,0,1,BAD_REQUEST_ERROR,invalid_cvv,decline,0
2953,Card,SBI,23,2,0,1,GATEWAY_ERROR,issuer_unavailable,timeout,1
2840,Wallet,Axis Bank,16,2,0,1,BAD_REQUEST_ERROR,user_cancelled,dropoff,1
9107,Wallet,Yes Bank,12,3,1,1,BAD_REQUEST_ERROR,invalid_expiry,invalid,1
1871,UPI,Axis Bank,18,4,0,0,BAD_REQUEST_ERROR,user_cancelled,dropoff,1
438,Card,Kotak Mahindra,14,6,0,1,BAD_REQUEST_ERROR,otp_timeout,dropoff,1
2517,Card,Axis Bank,6,6,0,0,GATEWAY_ERROR,issuer_risk_block,risk,0
1620,Card,Yes Bank,3,5,0,0,BAD_REQUEST_ERROR,issuer_general_decline,decline,0
3408,UPI,SBI,19,0,1,0,BAD_REQUEST_ERROR,issuer_general_decline,decline,1
1095,Netbanking,ICICI Bank,18,1,1,1,BAD_REQUEST_ERROR,insufficient_funds,funds,0
2480,UPI,Kotak Mahindra,23,3,1,0,BAD_REQUEST_ERROR,otp_timeout,dropoff,1
5929,UPI,SBI,10,4,0,0,GATEWAY_ERROR,issuer_unavailable,timeout,1
3559,UPI,IDFC First,20,3,0,0,GATEWAY_ERROR,internal_error,timeout,0
695,Wallet,IDFC First,0,5,1,0,GATEWAY_ERROR,issuer_risk_block,risk,0
2727,UPI,Kotak Mahindra,11,4,0,1,BAD_REQUEST_ERROR,invalid_expiry,invalid,1
618,Netbanking,HDFC Bank,3,5,0,0,BAD_REQUEST_ERROR,user_cancelled,dropoff,0
2268,Card,ICICI Bank,9,4,2,0,BAD_REQUEST_ERROR,otp_timeout,risk,0
2019,Card,Axis Bank,2,4,0,0,GATEWAY_ERROR,internal_error,timeout,1
2165,Wallet,HDFC Bank,23,0,0,0,BAD_REQUEST_ERROR,insufficient_funds,funds,0
3341,UPI,SBI,16,5,1,0,BAD_REQUEST_ERROR,invalid_cvv,invalid,1
8001,Netbanking,ICICI Bank,11,1,0,0,BAD_REQUEST_ERROR,user_cancelled,dropoff,1
672,UPI,ICICI Bank,0,0,1,1,GATEWAY_ERROR,issuer_risk_block,risk,0
1416,Netbanking,ICICI Bank,19,3,1,1,BAD_REQUEST_ERROR,user_cancelled,dropoff,1
1876,Card,Axis Bank,18,5,0,1,BAD_REQUEST_ERROR,invalid_cvv,invalid,1
2901,UPI,ICICI Bank,4,0,0,0,BAD_REQUEST_ERROR,invalid_cvv,invalid,1
2019,Netbanking,IDFC First,23,6,0,1,BAD_REQUEST_ERROR,insufficient_funds,funds,0
675,Card,SBI,19,2,0,1,BAD_REQUEST_ERROR,insufficient_funds,funds,0
666,Netbanking,HDFC Bank,19,2,0,1,BAD_REQUEST_ERROR,issuer_general_decline,decline,0
812,UPI,SBI,0,0,2,0,BAD_REQUEST_ERROR,invalid_expiry,invalid,0
4951,Wallet,Axis Bank,1,2,1,1,GATEWAY_ERROR,internal_error,timeout,1
481,Card,Axis Bank,4,0,2,1,GATEWAY_ERROR,internal_error,timeout,1
2434,Card,SBI,4,5,2,1,GATEWAY_ERROR,internal_error,timeout,0
547,Netbanking,IDFC First,18,0,0,0,BAD_REQUEST_ERROR,insufficient_funds,funds,0
3163,Netbanking,IDFC First,22,1,3,0,BAD_REQUEST_ERROR,invalid_cvv,invalid,0
818,UPI,SBI,15,2,0,1,BAD_REQUEST_ERROR,insufficient_funds,funds,0
5140,Card,SBI,9,6,2,0,BAD_REQUEST_ERROR,issuer_general_decline,decline,0
2445,Card,Axis Bank,8,2,0,0,BAD_REQUEST_ERROR,user_cancelled,dropoff,0
4006,Card,SBI,18,5,0,0,GATEWAY_ERROR,issuer_risk_block,risk,0
7702,UPI,HDFC Bank,2,6,1,1,GATEWAY_ERROR,issuer_risk_block,risk,0
5964,Netbanking,ICICI Bank,11,1,0,0,BAD_REQUEST_ERROR,issuer_general_decline,decline,0
4122,UPI,Kotak Mahindra,3,3,0,0,BAD_REQUEST_ERROR,invalid_cvv,invalid,0
568,Card,IDFC First,21,4,0,0,BAD_REQUEST_ERROR,issuer_general_decline,decline,0
667,Card,IDFC First,8,0,0,0,BAD_REQUEST_ERROR,user_cancelled,dropoff,1
11341,UPI,IDFC First,12,3,1,1,BAD_REQUEST_ERROR,user_cancelled,dropoff,1
2272,Card,IDFC First,12,6,0,1,BAD_REQUEST_ERROR,invalid_cvv,invalid,0
2368,Netbanking,SBI,23,1,1,0,GATEWAY_ERROR,internal_error,timeout,1
2804,Card,SBI,23,3,0,0,GATEWAY_ERROR,issuer_unavailable,timeout,1
3172,Netbanking,IDFC First,2,1,2,1,GATEWAY_ERROR,issuer_risk_block,risk,0
1402,Card,IDFC First,1,1,0,1,GATEWAY_ERROR,issuer_unavailable,timeout,1
6283,Card,Axis Bank,19,0,2,0,GATEWAY_ERROR,issuer_risk_block,risk,0
2158,Netbanking,ICICI Bank,23,3,0,0,GATEWAY_ERROR,issuer_risk_block,risk,0
6302,UPI,Axis Bank,18,5,2,0,BAD_REQUEST_ERROR,issuer_general_decline,invalid,1
3303,Card,IDFC First,15,6,3,1,BAD_REQUEST_ERROR,otp_timeout,invalid,1
3621,Wallet,ICICI Bank,12,4,0,0,GATEWAY_ERROR,internal_error,timeout,0
7100,UPI,Axis Bank,5,2,2,0,BAD_REQUEST_ERROR,invalid_expiry,invalid,1
7340,Card,ICICI Bank,16,1,0,0,BAD_REQUEST_ERROR,user_cancelled,dropoff,1
758,Card,Axis Bank,12,0,0,0,BAD_REQUEST_ERROR,user_cancelled,dropoff,1
2593,Card,ICICI Bank,5,5,0,0,BAD_REQUEST_ERROR,invalid_cvv,invalid,0
1305,Netbanking,Yes Bank,15,5,0,0,BAD_REQUEST_ERROR,invalid_expiry,invalid,1
2584,Card,IDFC First,23,4,0,0,BAD_REQUEST_ERROR,insufficient_funds,funds,0
433,Card,SBI,3,2,1,0,BAD_REQUEST_ERROR,user_cancelled,dropoff,1
421,UPI,ICICI Bank,4,2,0,0,GATEWAY_ERROR,internal_error,timeout,1
4350,Card,Yes Bank,3,2,0,1,BAD_REQUEST_ERROR,otp_timeout,dropoff,1
599,Netbanking,Kotak Mahindra,17,0,0,0,BAD_REQUEST_ERROR,otp_timeout,dropoff,1
1463,UPI,Yes Bank,5,6,0,1,BAD_REQUEST_ERROR,insufficient_funds,funds,0
245,UPI,Axis Bank,18,0,0,0,BAD_REQUEST_ERROR,issuer_general_decline,decline,0
1430,Wallet,Axis Bank,18,2,0,1,GATEWAY_ERROR,issuer_risk_block,risk,0
2463,Card,Kotak Mahindra,20,6,0,0,BAD_REQUEST_ERROR,invalid_cvv,invalid,0
1392,UPI,HDFC Bank,9,5,1,0,GATEWAY_ERROR,issuer_unavailable,timeout,1
2685,UPI,Yes Bank,1,4,0,0,BAD_REQUEST_ERROR,otp_timeout,dropoff,1
4060,UPI,IDFC First,21,5,1,0,GATEWAY_ERROR,issuer_risk_block,risk,0
2126,Card,IDFC First,10,4,1,0,GATEWAY_ERROR,internal_error,timeout,1
1862,Card,SBI,23,6,0,0,BAD_REQUEST_ERROR,otp_timeout,dropoff,1
357,UPI,ICICI Bank,4,1,0,0,GATEWAY_ERROR,issuer_unavailable,timeout,1
2638,UPI,Kotak Mahindra,9,1,0,0,GATEWAY_ERROR,internal_error,timeout,1
436,UPI,SBI,11,1,1,0,GATEWAY_ERROR,issuer_risk_block,risk,0
1732,UPI,HDFC Bank,22,3,0,0,BAD_REQUEST_ERROR,otp_timeout,dropoff,1
1894,Netbanking,ICICI Bank,5,2,2,0,BAD_REQUEST_ERROR,user_cancelled,dropoff,0
533,Card,Axis Bank,18,4,1,0,GATEWAY_ERROR,issuer_risk_block,risk,0
1474,Card,HDFC Bank,19,1,0,1,GATEWAY_ERROR,internal_error,timeout,1
5822,UPI,Yes Bank,18,6,0,0,BAD_REQUEST_ERROR,issuer_general_decline,decline,1
2666,Wallet,HDFC Bank,17,5,3,0,GATEWAY_ERROR,issuer_risk_block,risk,0
901,UPI,Kotak Mahindra,21,0,1,0,GATEWAY_ERROR,issuer_risk_block,risk,0
1440,UPI,ICICI Bank,14,2,1,1,BAD_REQUEST_ERROR,otp_timeout,dropoff,1
6175,UPI,Axis Bank,8,5,0,0,BAD_REQUEST_ERROR,invalid_expiry,invalid,0
1548,Netbanking,ICICI Bank,17,5,0,0,BAD_REQUEST_ERROR,insufficient_funds,funds,1
2216,Wallet,Axis Bank,17,0,1,0,BAD_REQUEST_ERROR,insufficient_funds,funds,0
5038,Netbanking,Yes Bank,19,0,1,1,BAD_REQUEST_ERROR,invalid_expiry,invalid,0
1065,UPI,SBI,5,0,0,1,BAD_REQUEST_ERROR,user_cancelled,dropoff,1
705,Card,HDFC Bank,18,0,2,0,GATEWAY_ERROR,issuer_unavailable,timeout,1
4512,Card,HDFC Bank,4,2,0,1,BAD_REQUEST_ERROR,invalid_expiry,invalid,1
3537,Netbanking,IDFC First,1,6,0,1,BAD_REQUEST_ERROR,insufficient_funds,funds,0
1026,UPI,SBI,13,1,1,0,BAD_REQUEST_ERROR,issuer_general_decline,decline,0
962,UPI,Yes Bank,10,0,0,1,BAD_REQUEST_ERROR,invalid_expiry,invalid,1
1324,Card,HDFC Bank,18,6,0,0,BAD_REQUEST_ERROR,user_cancelled,dropoff,1
589,Card,HDFC Bank,1,2,0,0,BAD_REQUEST_ERROR,invalid_cvv,invalid,0
367,UPI,SBI,5,1,0,0,BAD_REQUEST_ERROR,invalid_cvv,invalid,1
1303,UPI,HDFC Bank,22,6,1,1,GATEWAY_ERROR,issuer_unavailable,timeout,1
264,Wallet,IDFC First,12,1,2,0,GATEWAY_ERROR,internal_error,timeout,1
2143,Card,Yes Bank,23,0,0,0,BAD_REQUEST_ERROR,issuer_general_decline,decline,1
3444,Netbanking,ICICI Bank,7,6,3,0,GATEWAY_ERROR,issuer_risk_block,risk,0
591,Card,HDFC Bank,13,1,1,0,BAD_REQUEST_ERROR,user_cancelled,dropoff,1
1828,UPI,Axis Bank,20,6,0,0,BAD_REQUEST_ERROR,invalid_cvv,invalid,1
951,Card,IDFC First,6,4,0,0,BAD_REQUEST_ERROR,invalid_cvv,timeout,1
3482,Card,Kotak Mahindra,9,0,1,0,BAD_REQUEST_ERROR,invalid_cvv,decline,0
2288,UPI,Yes Bank,15,0,1,0,GATEWAY_ERROR,internal_error,timeout,1
7520,UPI,Yes Bank,1,0,1,1,BAD_REQUEST_ERROR,issuer_general_decline,decline,0
2207,Netbanking,ICICI Bank,17,0,0,0,BAD_REQUEST_ERROR,user_cancelled,dropoff,1
383,UPI,HDFC Bank,4,0,2,1,GATEWAY_ERROR,issuer_unavailable,timeout,0
566,UPI,IDFC First,18,5,2,0,BAD_REQUEST_ERROR,insufficient_funds,funds,0
5944,Card,Axis Bank,10,4,0,0,GATEWAY_ERROR,issuer_risk_block,decline,0
1711,UPI,Axis Bank,22,6,1,0,BAD_REQUEST_ERROR,invalid_cvv,invalid,0
6591,UPI,IDFC First,22,6,0,0,BAD_REQUEST_ERROR,invalid_expiry,invalid,0
529,Wallet,ICICI Bank,13,1,0,0,GATEWAY_ERROR,internal_error,timeout,1
2310,UPI,Yes Bank,0,5,0,0,BAD_REQUEST_ERROR,issuer_general_decline,decline,0
2130,Card,HDFC Bank,6,0,0,0,GATEWAY_ERROR,internal_error,decline,0
4009,Card,ICICI Bank,6,2,1,0,BAD_REQUEST_ERROR,otp_timeout,dropoff,1
8734,Card,SBI,9,5,0,0,GATEWAY_ERROR,issuer_unavailable,timeout,1
839,Card,Yes Bank,2,0,2,1,BAD_REQUEST_ERROR,insufficient_funds,funds,0
2449,Card,ICICI Bank,22,6,0,0,BAD_REQUEST_ERROR,insufficient_funds,funds,0
5556,UPI,HDFC Bank,10,0,0,0,GATEWAY_ERROR,issuer_risk_block,risk,0
2120,Card,HDFC Bank,2,3,2,0,BAD_REQUEST_ERROR,insufficient_funds,funds,0
476,Card,HDFC Bank,6,2,0,0,BAD_REQUEST_ERROR,user_cancelled,dropoff,1
1215,UPI,Axis Bank,4,5,0,0,BAD_REQUEST_ERROR,insufficient_funds,funds,0
12288,Card,Kotak Mahindra,8,0,1,1,BAD_REQUEST_ERROR,issuer_general_decline,decline,1
531,UPI,IDFC First,5,4,0,0,BAD_REQUEST_ERROR,insufficient_funds,funds,0
606,Wallet,Axis Bank,8,3,0,0,BAD_REQUEST_ERROR,issuer_general_decline,decline,1
3073,UPI,ICICI Bank,0,6,0,1,GATEWAY_ERROR,internal_error,timeout,1
1907,UPI,SBI,8,2,0,1,GATEWAY_ERROR,issuer_risk_block,risk,0
1643,Card,IDFC First,22,2,1,0,BAD_REQUEST_ERROR,user_cancelled,dropoff,1
3962,UPI,Yes Bank,1,6,0,0,GATEWAY_ERROR,internal_error,timeout,1
1366,Netbanking,HDFC Bank,19,4,2,1,GATEWAY_ERROR,internal_error,timeout,1
2205,UPI,Axis Bank,20,2,2,1,BAD_REQUEST_ERROR,invalid_expiry,invalid,1
805,UPI,Axis Bank,8,3,0,0,BAD_REQUEST_ERROR,issuer_general_decline,decline,0
18729,Netbanking,ICICI Bank,11,6,2,1,GATEWAY_ERROR,issuer_risk_block,risk,0
1644,Wallet,Kotak Mahindra,22,0,1,0,BAD_REQUEST_ERROR,otp_timeout,invalid,1
2053,UPI,HDFC Bank,15,2,2,0,BAD_REQUEST_ERROR,invalid_expiry,invalid,0
3559,Card,Axis Bank,3,4,3,0,GATEWAY_ERROR,internal_error,timeout,0
6293,UPI,Kotak Mahindra,22,4,0,0,GATEWAY_ERROR,issuer_unavailable,timeout,1
2527,UPI,Axis Bank,16,4,0,0,GATEWAY_ERROR,issuer_risk_block,risk,1
663,Card,SBI,21,3,0,0,GATEWAY_ERROR,issuer_unavailable,timeout,1
665,UPI,Kotak Mahindra,9,1,0,0,GATEWAY_ERROR,internal_error,timeout,1
1514,UPI,SBI,14,1,0,0,GATEWAY_ERROR,internal_error,timeout,1
3985,Wallet,Yes Bank,11,0,1,1,GATEWAY_ERROR,issuer_risk_block,risk,0
409,Card,IDFC First,14,3,2,0,GATEWAY_ERROR,issuer_unavailable,funds,0
2385,Card,IDFC First,0,1,0,0,GATEWAY_ERROR,internal_error,timeout,0
733,UPI,Yes Bank,4,6,1,0,BAD_REQUEST_ERROR,issuer_general_decline,decline,1
858,UPI,Yes Bank,22,5,2,0,GATEWAY_ERROR,issuer_unavailable,timeout,1
2519,Card,SBI,7,4,2,0,GATEWAY_ERROR,issuer_unavailable,invalid,1
3981,UPI,HDFC Bank,18,5,2,1,BAD_REQUEST_ERROR,user_cancelled,invalid,1
100,UPI,ICICI Bank,2,1,1,0,BAD_REQUEST_ERROR,otp_timeout,dropoff,0
2859,Card,HDFC Bank,5,6,0,0,BAD_REQUEST_ERROR,otp_timeout,dropoff,0
1180,Card,HDFC Bank,1,6,2,1,GATEWAY_ERROR,internal_error,risk,0
1170,Card,ICICI Bank,6,5,0,0,BAD_REQUEST_ERROR,issuer_general_decline,decline,0
7106,Netbanking,HDFC Bank,2,4,1,1,GATEWAY_ERROR,issuer_risk_block,risk,0
6359,UPI,Axis Bank,18,1,0,1,BAD_REQUEST_ERROR,otp_timeout,dropoff,1
733,UPI,Kotak Mahindra,10,1,0,1,BAD_REQUEST_ERROR,invalid_cvv,invalid,1
4204,Card,Yes Bank,8,5,0,1,BAD_REQUEST_ERROR,user_cancelled,dropoff,1
8119,Card,ICICI Bank,14,4,1,0,BAD_REQUEST_ERROR,user_cancelled,dropoff,1
2499,UPI,Axis Bank,12,6,1,0,BAD_REQUEST_ERROR,invalid_cvv,invalid,1
5538,Card,HDFC Bank,3,0,2,1,BAD_REQUEST_ERROR,user_cancelled,dropoff,1
157,UPI,IDFC First,1,4,1,0,GATEWAY_ERROR,internal_error,timeout,1
3583,Wallet,SBI,1,4,1,0,BAD_REQUEST_ERROR,invalid_cvv,invalid,1
2462,Card,ICICI Bank,20,4,0,0,GATEWAY_ERROR,issuer_unavailable,timeout,1
2395,Netbanking,Yes Bank,19,4,0,0,BAD_REQUEST_ERROR,invalid_expiry,invalid,1
1058,UPI,IDFC First,9,4,0,0,GATEWAY_ERROR,issuer_risk_block,risk,0
3348,Netbanking,SBI,0,5,0,0,BAD_REQUEST_ERROR,otp_timeout,funds,0
1015,Card,IDFC First,5,6,0,0,GATEWAY_ERROR,internal_error,timeout,0
676,UPI,ICICI Bank,1,6,2,0,GATEWAY_ERROR,issuer_unavailable,timeout,0
24431,UPI,Kotak Mahindra,16,5,1,1,GATEWAY_ERROR,issuer_risk_block,risk,0
1977,Card,Axis Bank,16,2,0,1,GATEWAY_ERROR,issuer_unavailable,timeout,1
895,UPI,ICICI Bank,8,1,1,0,GATEWAY_ERROR,issuer_unavailable,timeout,1
3242,Netbanking,IDFC First,6,4,1,0,GATEWAY_ERROR,issuer_risk_block,risk,0
2247,UPI,Kotak Mahindra,7,0,0,0,GATEWAY_ERROR,issuer_risk_block,risk,0
